"","estimate","se","pval","CI.l","CI.u"
"intrcpt",-0.866507328220235,0.563861688560031,0.124357635947986,-1.97165593005984,0.238641273619367
"PesticideTypeFungicide",2.75247553696124,2.93011229690449,0.347538016595936,-2.9904390356295,8.49539010955198
"PesticideTypeHerbicide",0.79602789362456,1.11691539798259,0.476030147789922,-1.39308606019953,2.98514184744865
"PesticideTypeInsecticide",0.794732988715564,0.720114977183539,0.269758193946366,-0.616666431292056,2.20613240872318
"PesticideTypeMultiSubstance",-1.15907734956481,0.837695012513325,0.166465414361959,-2.80092940411976,0.482774704990133
"precision.es.B",-0.120440664371633,0.0945538092677302,0.202741720494979,-0.305762725137454,0.0648813963941873
"BiodivMetricBroadDiversity",-0.10182765122613,0.697701230944742,0.88396294566044,-1.46929693584709,1.26564163339483
"PesticideTypeFungicide:precision.es.B",-1.18391587283894,1.98285305283674,0.550455999708593,-5.07023644303425,2.70240469735638
"PesticideTypeHerbicide:precision.es.B",0.134994595306779,0.449012807000004,0.763683276824958,-0.745054335010463,1.01504352562402
"PesticideTypeInsecticide:precision.es.B",-0.118770141803797,0.210654049209389,0.572879302237515,-0.531644491451729,0.294104207844134
"PesticideTypeMultiSubstance:precision.es.B",0.881369884568181,0.308080399491426,0.00422515234722721,0.277543397222274,1.48519637191409
"precision.es.B:BiodivMetricBroadDiversity",-0.163798431630892,0.337049370331701,0.626983073971449,-0.824403058492928,0.496806195231145
